Name,Team,playerid
Ryan Yarbrough,TBR,16502
Dan Altavilla,SEA,16507
Erik Swanson,SEA,16587
Jonathan Holder,NYY,16588
Bryan Abreu,HOU,16609
James Bourque,WSH,16668
Joshua James,HOU,16794
Tim Hill,KCR,16814
Ariel Jurado,TEX,17030
Sean Reid-Foley,TOR,17034
Joseph Palumbo,TEX,17035
Austin Davis,PHI,17117
Jose Castillo,SDP,17169
Gabe Speier,KCR,17170
Yoan Lopez,ARI,17181
Jalen Beeks,TBR,17192
Austin Brice,BOS,17237
Sam Coonrod,SFG,17264
Thomas Pannone,TOR,17281
Michael Kopech,CWS,17282
Justus Sheffield,SEA,17285
Framber Valdez,HOU,17295
Edgar Santana,PIT,17355
Josh Taylor,BOS,17359
Brett Martin,TEX,17369
Jonathan Hernandez,TEX,17464
Genesis Cabrera,STL,17490
Diego Castillo,TBR,17496
Tanner Scott,BAL,17586
Mitch Keller,PIT,17594
Tanner Rainey,WSH,17610
Cody Carroll,BAL,17664
Jeffrey Springs,BOS,17677
Rogelio Armenteros,HOU,17679
Evan Phillips,BAL,17734
Tyler Alexander,DET,17735
Drew Smith,NYM,17755
Jose Alvarado,TBR,17780
Trey Wingenter,SDP,17793
Dillon Tate,BAL,17796
Daniel Zamora,NYM,17811
Adbert Alzolay,CHC,17859
Nestor Cortes,SEA,17874
Brock Burke,TEX,17968
Peter Fairbanks,TBR,17998
Sam Haggerty,SEA,18054
Matt Hall,BOS,18076
Cody Stashak,MIN,18088
Chance Adams,KCR,18135
Art Warren,SEA,18251
Zac Grotz,SEA,18256
Tyler Kinley,COL,18297
Taylor Guilbeau,SEA,18306
Carson Fulmer,CWS,18311
Josh Sborz,LAD,18323
Taylor Hearn,TEX,18325
Josh Staumont,KCR,18335
Nick Anderson,TBR,18337
Jaime Barria,LAA,18356
Enyel De Los Santos,PHI,18403
Jose Urquidy,HOU,18413
Junior Fernandez,STL,18496
Dylan Cease,CWS,18525
Travis Lakins,BAL,18600
A.J. Minter,ATL,18655
Drew Steckenrider,MIA,18806
Kyle Keller,LAA,18890
Robert Dugger,MIA,19191
Conner Menez,SFG,19199
Jose Quijada,LAA,19200
Gerson Bautista,SEA,19256
Ian Hamilton,CWS,19261
Justin Dunn,SEA,19268
T.J. Zeuch,TOR,19269
Jacob Webb,ATL,19274
Edgar Garcia,PHI,19276
Reggie McClain,PHI,19311
Richard Lovelady,KCR,19337
Hector Velazquez,BAL,19341
A.J. Puk,OAK,19343
Colin Poche,TBR,19403
Patrick Sandoval,LAA,19447
Bryan Garcia,DET,19457
Jorge Alcala,MIN,19459
Aaron Civale,CLE,19479
Devin Smeltzer,MIN,19487
Michael Shawaryn,BOS,19495
Geoff Hartlieb,PIT,19558
David Bednar,SDP,19569
Sean Poppen,MIN,19583
Cionel Perez,HOU,19614
Jordan Hicks,STL,19618
Kyle Wright,ATL,19665
Jonathan Loaisiga,NYY,19753
Yoshihisa Hirano,SEA,19756
David McKay,DET,19814
Darwinzon Hernandez,BOS,19848
Michael King,NYY,19853
Griffin Canning,LAA,19867
Kevin Ginkel,ARI,19876
Corbin Martin,ARI,19884
Jose Suarez,LAA,19911
Jesus Luzardo,OAK,19959
Tres Barrera,WSH,19977
Zach Plesac,CLE,19979
Jeremy Walker,ATL,19981
Joel Kuhnel,CIN,19995
John Schreiber,DET,20020
Phillip Diehl,COL,20030
Adrian Morejon,SDP,20039
Ronald Bolanos,SDP,20041
Michel Baez,SDP,20100
James Karinchak,CLE,20151
Yennsy Diaz,TOR,20218
Brusdar Graterol,LAD,20367
Andres Munoz,SDP,20373
Anthony Kay,TOR,20387
Huascar Ynoa,ATL,20468
Elvis Luciano,TOR,20632
Yusei Kikuchi,SEA,20633
Emmanuel Clase,CLE,21032
Randy Dobnak,MIN,23798
